"","SURVEY_YEAR","GIS_STATION","MEAN_GT","STD_ERR_GT"
"1",1988,"M18",2.3,0
"2",1988,"L18",2.4,0
"3",1988,"K18",1.1,0
"4",1988,"J18",0.6,0
"5",1988,"JI1918",0.7,0
"6",1988,"I18",1.8,0
"7",1988,"IH1918",2.2,0
"8",1988,"H18",2.4,0
"9",1988,"HG1918",2.2,0
"10",1988,"G18",1.6,0
"11",1988,"GF1918",1.9,0
"12",1988,"F18",2.6,0
"13",1988,"E18",3.7,0
"14",1988,"D18",3.9,0
"15",1988,"C18",3.9,0
"16",1988,"E20",3.7,0
"17",1988,"F20",4.2,0
"18",1988,"GF2120",3.5,0
"19",1988,"HG2120",4.1,0
"20",1988,"G20",1.8,0
"21",1988,"H20",1.8,0
"22",1988,"IH2120",1.1,0
"23",1988,"I20",1.9,0
"24",1988,"JI2019",2,0
"25",1988,"J20",0.9,0
"26",1988,"K20",0.9,0
"27",1988,"L20",1.2,0
"28",1988,"M20",1.7,0
"29",1988,"N20",1.6,0
"30",1988,"O20",1.5,0
"31",1988,"P20",1.6,0
"32",1988,"Q20",1.2,0
"33",1988,"S22",-0.5,0
"34",1988,"R22",0.2,0
"35",1988,"Q22",-0.7,0
"36",1988,"P22",-0.4,0
"37",1988,"O22",-0.3,0
"38",1988,"N22",-0.2,0
"39",1988,"M22",-0.5,0
"40",1988,"L22",-1.1,0
"41",1988,"K22",-0.3,0
"42",1988,"J22",2.1,0
"43",1988,"I22",3,0
"44",1988,"H22",3.4,0
"45",1988,"G22",3.2,0
"46",1988,"F22",3.4,0
"47",1988,"E22",3.9,0
"48",1988,"F24",3.8,0
"49",1988,"G24",3.7,0
"50",1988,"H24",3.1,0
"51",1988,"I24",2.5,0
"52",1988,"J24",2,0
"53",1988,"K24",1.8,0
"54",1988,"L24",1,0
"55",1988,"M24",0.5,0
"56",1988,"N24",-0.9,0
"57",1988,"I26",3.6,0
"58",1988,"H26",3.5,0
"59",1988,"G26",3.5,0
"60",1988,"PO2524",-1,0
"61",1988,"P24",-0.1,0
"62",1988,"QP2524",1.02782296428129,0.134927829412026
"63",1988,"R24",2.9,0
"64",1988,"S24",-0.5,0
"65",1988,"U25",-1.6,0
"66",1988,"V25",-1.6,0
"67",1988,"V26",-1.6,0
"68",1988,"U26",-1.6,0
"69",1988,"T26",-1.6,0
"70",1988,"S26",-1.5,0
"71",1988,"R26",-1.2,0
"72",1988,"Q26",-1.3,0
"73",1988,"QP2726",0.3,0
"74",1988,"P26",0.1,0
"75",1988,"PO2726",1.2,0
"76",1988,"O26",1.4,0
"77",1988,"N26",1.3,0
"78",1988,"M26",1.9,0
"79",1988,"L26",2.8,0
"80",1988,"L28",3.5,0
"81",1988,"M28",2.8,0
"82",1988,"N28",2.2,0
"83",1988,"O28",1.8,0
"84",1988,"P28",1.2,0
"85",1988,"Q28",0.8,0
"86",1988,"R28",0.7,0
"87",1988,"S28",-1,0
"88",1988,"T28",-1.1,0
"89",1988,"V28",-1.5,0
"90",1988,"U28",-1.5,0
"91",1988,"U29",-0.4,0
"92",1988,"T30",1.5,0
"93",1988,"S30",0.5,0
"94",1988,"R30",1.5,0
"95",1988,"Q30",1.4,0
"96",1988,"P30",2,0
"97",1988,"O30",2.1,0
"98",1988,"N30",2.9,0
"99",1988,"M30",2.5,0
"100",1988,"L30",2.9,0
"101",1988,"F14",4.2,0
"102",1988,"G15",4.4,0
"103",1988,"H15",3.4,0
"104",1988,"I15",4.4,0
"105",1988,"J13",2.9,0
"106",1988,"I13",3.2,0
"107",1988,"H13",3.1,0
"108",1988,"G13",2.6,0
"109",1988,"F13",2.5,0
