Year,POP_TEMP_OCC,POP_COD,POP_D95,AVG_BT,CP_EXTENT,CP_COD
1988,-0.125266422,60.15158894,27669,2.156306581,56942,59.07594676
1989,2.233744269,59.63937426,30877,2.906274607,30476,58.82111618
1990,0.483254369,59.47642265,31278,2.238105379,48120,59.71138907
1991,0.736922401,59.33976598,32080,2.434026307,48120,59.60912576
1992,0.118076078,59.53409541,29273,1.674449366,70977,58.78440176
1993,0.663400714,60.52857539,23258,2.949442206,37293,59.48791763
1994,-1.081134943,60.48522836,24862,1.50332258,73383,59.02289683
1995,-0.311770775,60.04661617,30877,1.517083132,76992,58.72894672
1996,1.865668401,59.88609455,35288,3.293189498,27669,59.67623159
1997,1.256614073,59.87443804,35288,2.590745083,46115,59.05577078
1998,1.585492262,60.03516734,30476,3.129069955,26867,60.26846537
1999,-0.124269712,60.05794728,30075,0.70845486,108270,58.73404116
2000,1.02282227,59.76669466,18847,2.011454234,65363,59.02467155
2001,0.890700806,60.5794089,21253,2.442372014,46917,59.79000405
2002,1.470950603,60.05033362,21253,3.051897372,28070,60.35777014
2003,1.821262513,60.42978878,16040,3.682174927,13634,60.63803206
2004,1.249291741,59.50478846,17243,3.215752305,25263,60.36170222
2005,1.543729603,59.75268109,21654,3.320277923,24060,60.46939237
2006,-0.42905797,59.31734796,22055,1.664492486,68972,59.2324786
2007,-0.412891303,59.54806525,27268,1.582666667,78997,58.76269147
2008,-0.093613524,59.27671176,31679,1.107169814,96240,58.69849375
2009,-0.565377235,60.09968746,30476,1.195733333,89824,58.64788848
2010,-0.158734615,60.75327292,22857,1.338666667,74987,58.70663781
2011,1.066736593,60.25694526,28872,2.312,45714,59.47200123
2012,-0.281392552,59.67705786,28872,0.840035977,103057,58.5589044
2013,-0.011122334,59.40046361,28070,1.637066667,72982,58.88273901
2014,1.658528104,58.96792037,28872,3.018666667,36491,60.11210637
2015,0.194007314,59.58436063,18446,3.1336,34486,60.03382349
2016,0.409684506,60.64718753,14035,4.210666667,25664,60.60299031
2017,-0.006784651,60.56017519,17243,2.6528,48120,58.924718
2018,2.958340485,60.28742138,18847,4.159466667,1604,61.83628
2019,2.262239619,60.2432273,18446,4.354133333,8020,61.350591
