Year,SIZESEX,TEMP_OCC,D95,ABUN_mil_strat,LAT_COD,AVG_BT,CP_EXTENT,CP_COD,DFA_Trend 
1988,FEMALE_IMM,-0.975672017,13233,1071.095816,61.04295314,2.156306581,56942,59.07594676,-1.263350663
1989,FEMALE_IMM,1.808405034,12431,607.8735492,59.94385362,2.906274607,30476,58.82111618,-1.437152439
1990,FEMALE_IMM,-0.383739038,9223,1045.347866,59.51633255,2.238105379,48120,59.71138907,-1.302836209
1991,FEMALE_IMM,0.295158479,15238,1665.945528,59.48591216,2.434026307,48120,59.60912576,-1.113808382
1992,FEMALE_IMM,-0.450161576,14436,1839.099322,59.97963427,1.674449366,70977,58.78440176,-1.213668877
1993,FEMALE_IMM,0.549455838,11629,3111.829969,60.63615066,2.949442206,37293,59.48791763,-0.921873243
1994,FEMALE_IMM,-1.585774815,10827,3143.714651,61.29057586,1.50332258,73383,59.02289683,-1.211243519
1995,FEMALE_IMM,-1.367139443,11629,1179.356214,61.32950337,1.517083132,76992,58.72894672,-1.02905565
1996,FEMALE_IMM,-0.014376792,8020,319.2219945,61.63251156,3.293189498,27669,59.67623159,-0.404667465
1997,FEMALE_IMM,-1.217790987,3208,166.3626412,61.58136454,2.590745083,46115,59.05577078,-0.382767574
1998,FEMALE_IMM,1.219962888,5213,357.2678872,60.95405194,3.129069955,26867,60.26846537,-0.17124118
1999,FEMALE_IMM,-1.366475149,9624,161.7289648,61.41092868,0.70845486,108270,58.73404116,-0.394289437
2000,FEMALE_IMM,-0.637926577,10827,357.6689655,61.10929527,2.011454234,65363,59.02467155,-0.29147782
2001,FEMALE_IMM,0.001652939,10426,426.095724,61.25290774,2.442372014,46917,59.79000405,0.027952645
2002,FEMALE_IMM,0.480361018,6416,121.2102246,61.02475732,3.051897372,28070,60.35777014,0.517155025
2003,FEMALE_IMM,0.745824612,7619,627.7360545,61.26722584,3.682174927,13634,60.63803206,0.920535442
2004,FEMALE_IMM,1.53721674,8822,842.4412264,58.96886739,3.215752305,25263,60.36170222,0.746917156
2005,FEMALE_IMM,1.770895661,10827,1161.34928,59.21961704,3.320277923,24060,60.46939237,0.390245259
2006,FEMALE_IMM,-1.0377621,8020,607.4796023,59.43384838,1.664492486,68972,59.2324786,-0.558763251
2007,FEMALE_IMM,-1.010367724,10827,744.0195014,60.18957436,1.582666667,78997,58.76269147,-0.955870084
2008,FEMALE_IMM,-1.185629518,11228,192.4824928,60.55835186,1.107169814,96240,58.69849375,-1.2276719
2009,FEMALE_IMM,-1.336042937,11228,1142.116073,60.89021081,1.195733333,89824,58.64788848,-1.594360259
2010,FEMALE_IMM,-0.403054932,15639,3469.376685,61.01971915,1.338666667,74987,58.70663781,-1.905510352
2011,FEMALE_IMM,0.61045853,18045,1175.838095,60.43306052,2.312,45714,59.47200123,-1.538289334
2012,FEMALE_IMM,-0.751186937,13233,1095.033904,59.78940029,0.840035977,103057,58.5589044,-1.051707162
2013,FEMALE_IMM,-0.80826676,14436,1103.867032,59.34771612,1.637066667,72982,58.88273901,-0.336146175
2014,FEMALE_IMM,1.241633853,13233,1607.959677,59.08325008,3.018666667,36491,60.11210637,1.033442088
2015,FEMALE_IMM,-0.765524419,9223,1852.885728,59.9848834,3.1336,34486,60.03382349,2.144568498
2016,FEMALE_IMM,-0.161206136,7218,3039.324016,60.88253417,4.210666667,25664,60.60299031,3.416559253
2017,FEMALE_IMM,-0.716599712,11629,3796.577091,61.01933284,2.6528,48120,58.924718,2.95835313
2018,FEMALE_IMM,2.804823989,9223,4130.004411,60.86626001,4.159466667,1604,61.83628,3.968385217
2019,FEMALE_IMM,0.768939084,3208,163.5075052,61.74045108,4.354133333,8020,61.350591,4.649860031
1988,FEMALE_MAT,0.600526617,20852,3288.890836,59.5481622,2.156306581,56942,59.07594676,-1.263350663
1989,FEMALE_MAT,2.472312941,16441,5951.846658,59.52097272,2.906274607,30476,58.82111618,-1.437152439
1990,FEMALE_MAT,1.465213686,19649,3440.3625,59.15322752,2.238105379,48120,59.71138907,-1.302836209
1991,FEMALE_MAT,1.515082383,16441,4028.910163,59.12063697,2.434026307,48120,59.60912576,-1.113808382
1992,FEMALE_MAT,0.897802069,20852,2398.510721,59.05017174,1.674449366,70977,58.78440176,-1.213668877
1993,FEMALE_MAT,1.209320863,19248,2766.049521,60.1991479,2.949442206,37293,59.48791763,-0.921873243
1994,FEMALE_MAT,-0.270313071,24862,2377.177057,59.36540545,1.50332258,73383,59.02289683,-1.211243519
1995,FEMALE_MAT,0.346178673,23258,3604.970719,59.58027712,1.517083132,76992,58.72894672,-1.02905565
1996,FEMALE_MAT,2.630657251,18847,2448.431486,59.73568386,3.293189498,27669,59.67623159,-0.404667465
1997,FEMALE_MAT,1.797934137,13634,2136.705149,59.9119864,2.590745083,46115,59.05577078,-0.382767574
1998,FEMALE_MAT,1.743931246,13233,1499.99149,59.72743458,3.129069955,26867,60.26846537,-0.17124118
1999,FEMALE_MAT,0.414444526,14837,521.0220153,59.67366402,0.70845486,108270,58.73404116,-0.394289437
2000,FEMALE_MAT,1.827982124,10827,1857.412548,59.08720957,2.011454234,65363,59.02467155,-0.29147782
2001,FEMALE_MAT,1.48042093,11228,1271.631895,60.0213887,2.442372014,46917,59.79000405,0.027952645
2002,FEMALE_MAT,2.319229425,10426,602.7034981,59.41277414,3.051897372,28070,60.35777014,0.517155025
2003,FEMALE_MAT,3.571346586,8822,969.0300923,58.99520691,3.682174927,13634,60.63803206,0.920535442
2004,FEMALE_MAT,1.351547718,12431,1184.711648,59.76006926,3.215752305,25263,60.36170222,0.746917156
2005,FEMALE_MAT,1.921524075,12030,1273.441205,59.80189407,3.320277923,24060,60.46939237,0.390245259
2006,FEMALE_MAT,0.502404932,16040,666.4591266,59.17651566,1.664492486,68972,59.2324786,-0.558763251
2007,FEMALE_MAT,0.17668567,18446,921.4473732,59.01986355,1.582666667,78997,58.76269147,-0.955870084
2008,FEMALE_MAT,0.457462017,21253,721.7607932,58.9676535,1.107169814,96240,58.69849375,-1.2276719
2009,FEMALE_MAT,0.392131808,18446,775.1611834,59.17383842,1.195733333,89824,58.64788848,-1.594360259
2010,FEMALE_MAT,0.142672503,19248,1970.494609,60.26192535,1.338666667,74987,58.70663781,-1.905510352
2011,FEMALE_MAT,1.425191741,21654,3797.083269,60.05950368,2.312,45714,59.47200123,-1.538289334
2012,FEMALE_MAT,0.237196787,22456,3271.809346,59.35868505,0.840035977,103057,58.5589044,-1.051707162
2013,FEMALE_MAT,0.788177601,17644,2997.348793,59.27056585,1.637066667,72982,58.88273901,-0.336146175
2014,FEMALE_MAT,2.301569227,12832,2193.957498,58.66110394,3.018666667,36491,60.11210637,1.033442088
2015,FEMALE_MAT,1.862662327,11629,1364.237264,58.58550032,3.1336,34486,60.03382349,2.144568498
2016,FEMALE_MAT,2.742562124,12431,1117.012391,58.92953409,4.210666667,25664,60.60299031,3.416559253
2017,FEMALE_MAT,1.033416721,14837,3004.840868,59.8745626,2.6528,48120,58.924718,2.95835313
2018,FEMALE_MAT,3.108318213,12431,4541.004932,59.85311381,4.159466667,1604,61.83628,3.968385217
2019,FEMALE_MAT,2.49336015,12832,2626.218072,60.11683832,4.354133333,8020,61.350591,4.649860031
1988,MALE_31TO60,-0.967451332,15639,2853.769591,61.11259886,2.156306581,56942,59.07594676,-1.263350663
1989,MALE_31TO60,1.295439544,18847,1642.723807,60.59206212,2.906274607,30476,58.82111618,-1.437152439
1990,MALE_31TO60,-0.628892101,15639,1068.365842,60.563661,2.238105379,48120,59.71138907,-1.302836209
1991,MALE_31TO60,0.111621349,16040,2058.257952,59.76813935,2.434026307,48120,59.60912576,-1.113808382
1992,MALE_31TO60,-0.301133799,15238,2445.248033,59.94282619,1.674449366,70977,58.78440176,-1.213668877
1993,MALE_31TO60,0.178699524,12832,4691.485415,60.8971871,2.949442206,37293,59.48791763,-0.921873243
1994,MALE_31TO60,-1.48910403,14436,3643.175786,61.02199036,1.50332258,73383,59.02289683,-1.211243519
1995,MALE_31TO60,-1.065368256,20451,2308.574888,60.82429512,1.517083132,76992,58.72894672,-1.02905565
