"GIS_STATION","DISTRICT","TOWS","STRATUM","TOTAL_AREA","SURVEY_YEAR"
"NBS-8","NBS All",1,999,44100,2018
"NBS-14","NBS All",1,999,44100,2018
"NBS-20","NBS All",1,999,44100,2018
"NBS-19","NBS All",1,999,44100,2018
"NBS-26","NBS All",1,999,44100,2018
"NBS-27","NBS All",1,999,44100,2018
"NBS-28","NBS All",1,999,44100,2018
"NBS-29","NBS All",1,999,44100,2018
"NBS-21","NBS All",1,999,44100,2018
"NBS-22","NBS All",1,999,44100,2018
"NBS-1","NBS All",1,999,44100,2018
"NBS-3","NBS All",1,999,44100,2018
"NBS-2","NBS All",1,999,44100,2018
"NBS-5","NBS All",1,999,44100,2018
"NBS-6","NBS All",1,999,44100,2018
"NBS-7","NBS All",1,999,44100,2018
"NBS-13","NBS All",1,999,44100,2018
"NBS-12","NBS All",1,999,44100,2018
"NBS-17","NBS All",1,999,44100,2018
"NBS-10","NBS All",1,999,44100,2018
"NBS-11","NBS All",1,999,44100,2018
"NBS-4","NBS All",1,999,44100,2018
"NBS-15","NBS All",1,999,44100,2018
"NBS-23","NBS All",1,999,44100,2018
"NBS-31","NBS All",1,999,44100,2018
"NBS-41","NBS All",1,999,44100,2018
"NBS-49","NBS All",1,999,44100,2018
"NBS-48","NBS All",1,999,44100,2018
"NBS-43","NBS All",1,999,44100,2018
"NBS-42","NBS All",1,999,44100,2018
"NBS-32","NBS All",1,999,44100,2018
"NBS-33","NBS All",1,999,44100,2018
"NBS-24","NBS All",1,999,44100,2018
"NBS-9","NBS All",1,999,44100,2018
"NBS-16","NBS All",1,999,44100,2018
"NBS-25","NBS All",1,999,44100,2018
"NBS-34","NBS All",1,999,44100,2018
"NBS-44","NBS All",1,999,44100,2018
"NBS-45","NBS All",1,999,44100,2018
"NBS-40","NBS All",1,999,44100,2018
"NBS-36","NBS All",1,999,44100,2018
"NBS-46","NBS All",1,999,44100,2018
"NBS-47","NBS All",1,999,44100,2018
"NBS-35","NBS All",1,999,44100,2018
"NBS-37","NBS All",1,999,44100,2018
"NBS-38","NBS All",1,999,44100,2018
"NBS-39","NBS All",1,999,44100,2018
"NBS-30","NBS All",1,999,44100,2018
"NBS-18","NBS All",1,999,44100,2018
"FF-18","NBS All",,10,58145,2010
"FF-01","NBS All",,10,58145,2010
"FF-02","NBS All",,10,58145,2010
"EE-19","NBS All",,10,58145,2010
"EE-18","NBS All",,10,58145,2010
"EE-01","NBS All",,10,58145,2010
"EE-02","NBS All",,10,58145,2010
"DD-20","NBS All",,10,58145,2010
"DD-19","NBS All",,10,58145,2010
"DD-18","NBS All",,10,58145,2010
"DD-01","NBS All",,10,58145,2010
"DD-02","NBS All",,10,58145,2010
"DD-03","NBS All",,10,58145,2010
"DD-09","NBS All",,10,58145,2010
"CC-06","NBS All",,10,58145,2010
"CC-07","NBS All",,10,58145,2010
"CC-08","NBS All",,10,58145,2010
"CC-09","NBS All",,10,58145,2010
"CC-10","NBS All",,10,58145,2010
"BB-22","NBS All",,10,58145,2010
"BB-21","NBS All",,10,58145,2010
"BB-20","NBS All",,10,58145,2010
"AA-10","NBS All",,10,58145,2010
"ZZ-24","NBS All",,10,58145,2010
"ZZ-23","NBS All",,10,58145,2010
"ZZ-22","NBS All",,10,58145,2010
"ZZ-21","NBS All",,10,58145,2010
"ZZ-01","NBS All",,10,58145,2010
"ZZ-02","NBS All",,10,58145,2010
"ZZ-03","NBS All",,10,58145,2010
"ZZ-04","NBS All",,10,58145,2010
"ZZ-05","NBS All",,10,58145,2010
"Y-25","NBS All",,10,58145,2010
"Y-24","NBS All",,10,58145,2010
"Y-23","NBS All",,10,58145,2010
"Y-22","NBS All",,10,58145,2010
"Y-21","NBS All",,10,58145,2010
"Y-20","NBS All",,10,58145,2010
"Y-18","NBS All",,10,58145,2010
"Y-01","NBS All",,10,58145,2010
"Y-02","NBS All",,10,58145,2010
"Y-03","NBS All",,10,58145,2010
"Y-04","NBS All",,10,58145,2010
"X-26","NBS All",,10,58145,2010
"X-25","NBS All",,10,58145,2010
"X-24","NBS All",,10,58145,2010
"X-23","NBS All",,10,58145,2010
"X-22","NBS All",,10,58145,2010
"X-21","NBS All",,10,58145,2010
"X-20","NBS All",,10,58145,2010
"X-19","NBS All",,10,58145,2010
"X-18","NBS All",,10,58145,2010
"X-01","NBS All",,10,58145,2010
"X-02","NBS All",,10,58145,2010
"X-03","NBS All",,10,58145,2010
"W-27","NBS All",,10,58145,2010
"W-26","NBS All",,10,58145,2010
"W-25","NBS All",,10,58145,2010
"BB-19","NBS All",,10,58145,2010
"BB-18","NBS All",,10,58145,2010
"BB-01","NBS All",,10,58145,2010
"BB-02","NBS All",,10,58145,2010
"BB-03","NBS All",,10,58145,2010
"BB-04","NBS All",,10,58145,2010
"BB-05","NBS All",,10,58145,2010
"BB-06","NBS All",,10,58145,2010
"BB-07","NBS All",,10,58145,2010
"BB-08","NBS All",,10,58145,2010
"BB-09","NBS All",,10,58145,2010
"BB-10","NBS All",,10,58145,2010
"AA-23","NBS All",,10,58145,2010
"AA-22","NBS All",,10,58145,2010
"AA-19","NBS All",,10,58145,2010
"AA-18","NBS All",,10,58145,2010
"AA-01","NBS All",,10,58145,2010
"AA-02","NBS All",,10,58145,2010
"AA-03","NBS All",,10,58145,2010
"AA-04","NBS All",,10,58145,2010
"AA-05","NBS All",,10,58145,2010
"AA-06","NBS All",,10,58145,2010
"AA-07","NBS All",,10,58145,2010
"AA-08","NBS All",,10,58145,2010
"CC-21","NBS All",,10,58145,2010
"CC-20","NBS All",,10,58145,2010
"CC-19","NBS All",,10,58145,2010
"CC-18","NBS All",,10,58145,2010
"CC-01","NBS All",,10,58145,2010
"CC-02","NBS All",,10,58145,2010
"CC-03","NBS All",,10,58145,2010
"CC-04","NBS All",,10,58145,2010
"CC-05","NBS All",,10,58145,2010
"T-24","NBS All",,10,58145,2010
"T-23","NBS All",,10,58145,2010
"T-22","NBS All",,10,58145,2010
"T-21","NBS All",,10,58145,2010
"T-20","NBS All",,10,58145,2010
"T-19","NBS All",,10,58145,2010
"T-18","NBS All",,10,58145,2010
"T-01","NBS All",,10,58145,2010
"T-02","NBS All",,10,58145,2010
"T-03","NBS All",,10,58145,2010
"S-21","NBS All",,10,58145,2010
"S-20","NBS All",,10,58145,2010
"S-19","NBS All",,10,58145,2010
"S-18","NBS All",,10,58145,2010
"S-01","NBS All",,10,58145,2010
"S-02","NBS All",,10,58145,2010
"S-03","NBS All",,10,58145,2010
"W-24","NBS All",,10,58145,2010
"W-23","NBS All",,10,58145,2010
"W-22","NBS All",,10,58145,2010
"W-21","NBS All",,10,58145,2010
"W-20","NBS All",,10,58145,2010
"W-19","NBS All",,10,58145,2010
"W-18","NBS All",,10,58145,2010
"W-01","NBS All",,10,58145,2010
"W-02","NBS All",,10,58145,2010
"W-03","NBS All",,10,58145,2010
"V-24","NBS All",,10,58145,2010
"V-23","NBS All",,10,58145,2010
"V-22","NBS All",,10,58145,2010
"V-21","NBS All",,10,58145,2010
"V-20","NBS All",,10,58145,2010
"V-19","NBS All",,10,58145,2010
"V-18","NBS All",,10,58145,2010
"V-01","NBS All",,10,58145,2010
"V-02","NBS All",,10,58145,2010
"V-03","NBS All",,10,58145,2010
"U-24","NBS All",,10,58145,2010
"U-23","NBS All",,10,58145,2010
"U-22","NBS All",,10,58145,2010
"U-21","NBS All",,10,58145,2010
"U-20","NBS All",,10,58145,2010
"U-19","NBS All",,10,58145,2010
"U-18","NBS All",,10,58145,2010
"U-01","NBS All",,10,58145,2010
"U-02","NBS All",,10,58145,2010
"U-03","NBS All",,10,58145,2010
"R-21","NBS All",,10,58145,2010
"R-20","NBS All",,10,58145,2010
"R-19","NBS All",,10,58145,2010
"R-18","NBS All",,10,58145,2010
"R-01","NBS All",,10,58145,2010
"R-02","NBS All",,10,58145,2010
"R-03","NBS All",,10,58145,2010
"FF-18","NBS All",,10,58145,2017
"FF-01","NBS All",,10,58145,2017
"FF-02","NBS All",,10,58145,2017
"EE-19","NBS All",,10,58145,2017
"EE-18","NBS All",,10,58145,2017
"EE-01","NBS All",,10,58145,2017
"EE-02","NBS All",,10,58145,2017
"DD-20","NBS All",,10,58145,2017
"DD-19","NBS All",,10,58145,2017
"DD-18","NBS All",,10,58145,2017
"DD-01","NBS All",,10,58145,2017
"DD-02","NBS All",,10,58145,2017
"DD-03","NBS All",,10,58145,2017
"DD-09","NBS All",,10,58145,2017
"CC-06","NBS All",,10,58145,2017
"CC-07","NBS All",,10,58145,2017
"CC-08","NBS All",,10,58145,2017
"CC-09","NBS All",,10,58145,2017
"CC-10","NBS All",,10,58145,2017
"BB-22","NBS All",,10,58145,2017
"BB-21","NBS All",,10,58145,2017
"BB-20","NBS All",,10,58145,2017
"AA-10","NBS All",,10,58145,2017
"ZZ-23","NBS All",,10,58145,2017
"ZZ-22","NBS All",,10,58145,2017
"ZZ-21","NBS All",,10,58145,2017
"ZZ-01","NBS All",,10,58145,2017
"ZZ-02","NBS All",,10,58145,2017
"ZZ-04","NBS All",,10,58145,2017
"ZZ-05","NBS All",,10,58145,2017
"Y-25","NBS All",,10,58145,2017
"Y-24","NBS All",,10,58145,2017
"Y-23","NBS All",,10,58145,2017
"Y-21","NBS All",,10,58145,2017
"Y-20","NBS All",,10,58145,2017
"Y-18","NBS All",,10,58145,2017
"Y-01","NBS All",,10,58145,2017
"Y-02","NBS All",,10,58145,2017
"Y-04","NBS All",,10,58145,2017
"X-26","NBS All",,10,58145,2017
"X-25","NBS All",,10,58145,2017
"X-24","NBS All",,10,58145,2017
"X-23","NBS All",,10,58145,2017
"X-21","NBS All",,10,58145,2017
"X-20","NBS All",,10,58145,2017
"X-19","NBS All",,10,58145,2017
"X-18","NBS All",,10,58145,2017
"X-02","NBS All",,10,58145,2017
"X-03","NBS All",,10,58145,2017
"W-27","NBS All",,10,58145,2017
"W-26","NBS All",,10,58145,2017
"W-25","NBS All",,10,58145,2017
"BB-18","NBS All",,10,58145,2017
"BB-01","NBS All",,10,58145,2017
"BB-02","NBS All",,10,58145,2017
"BB-03","NBS All",,10,58145,2017
"BB-04","NBS All",,10,58145,2017
"BB-06","NBS All",,10,58145,2017
"BB-07","NBS All",,10,58145,2017
"BB-08","NBS All",,10,58145,2017
"BB-09","NBS All",,10,58145,2017
"BB-10","NBS All",,10,58145,2017
"AA-22","NBS All",,10,58145,2017
"AA-19","NBS All",,10,58145,2017
"AA-18","NBS All",,10,58145,2017
"AA-01","NBS All",,10,58145,2017
"AA-02","NBS All",,10,58145,2017
"AA-04","NBS All",,10,58145,2017
"AA-05","NBS All",,10,58145,2017
"AA-06","NBS All",,10,58145,2017
"AA-07","NBS All",,10,58145,2017
"AA-08","NBS All",,10,58145,2017
"CC-20","NBS All",,10,58145,2017
"CC-19","NBS All",,10,58145,2017
"CC-18","NBS All",,10,58145,2017
"CC-01","NBS All",,10,58145,2017
"CC-02","NBS All",,10,58145,2017
"CC-04","NBS All",,10,58145,2017
"CC-05","NBS All",,10,58145,2017
"T-24","NBS All",,10,58145,2017
"T-23","NBS All",,10,58145,2017
"T-22","NBS All",,10,58145,2017
"T-20","NBS All",,10,58145,2017
"T-19","NBS All",,10,58145,2017
"T-18","NBS All",,10,58145,2017
"T-01","NBS All",,10,58145,2017
"T-02","NBS All",,10,58145,2017
"S-21","NBS All",,10,58145,2017
"S-20","NBS All",,10,58145,2017
"S-19","NBS All",,10,58145,2017
"S-18","NBS All",,10,58145,2017
"S-02","NBS All",,10,58145,2017
"S-03","NBS All",,10,58145,2017
"W-24","NBS All",,10,58145,2017
"W-23","NBS All",,10,58145,2017
"W-22","NBS All",,10,58145,2017
"W-20","NBS All",,10,58145,2017
"W-19","NBS All",,10,58145,2017
"W-18","NBS All",,10,58145,2017
"W-01","NBS All",,10,58145,2017
"W-02","NBS All",,10,58145,2017
"V-24","NBS All",,10,58145,2017
"V-23","NBS All",,10,58145,2017
"V-22","NBS All",,10,58145,2017
"V-21","NBS All",,10,58145,2017
"V-20","NBS All",,10,58145,2017
"V-18","NBS All",,10,58145,2017
"V-01","NBS All",,10,58145,2017
