SURVEY_YEAR,MEAN_BT,CPA,CP_COD
1988,2.156306581,56942,59.05124601
1989,2.906274607,30476,58.8467041
1990,2.238105379,48120,59.64160771
1991,2.434026307,48120,59.59938457
1992,1.674449366,70977,58.75774909
1993,2.949442206,37293,59.51468426
1994,1.50332258,73383,58.99732338
1995,1.517083132,76992,58.71159276
1996,3.293189498,27669,59.68651216
1997,2.590745083,46115,59.06927133
1998,3.129069955,26867,60.16017141
1999,0.70845486,108270,58.75360343
2000,2.011454234,65363,59.06855605
2001,2.442372014,46917,59.80107298
2002,3.051897372,28070,60.32049763
2003,3.682174927,13634,60.56099789
2004,3.215752305,25263,60.28278085
2005,3.320277923,24060,60.40755567
2006,1.664492486,68972,59.21042952
2007,1.582666667,78997,58.75097014
2008,1.107169814,96240,58.68089806
2009,1.195733333,89824,58.64481878
2010,1.338666667,74987,58.69849269
2011,2.312,45714,59.46411567
2012,0.840035977,103057,58.54649633
2013,1.637066667,72982,58.85426527
2014,3.018666667,36491,60.07560343
2015,3.1336,34486,60.01786811
2016,4.210666667,25664,60.54062211
2017,2.6528,48120,58.96208721
2018,4.159466667,1604,61.83628
2019,4.354133333,8020,61.350591
