year,Region,size_sex,abundance_mil,stderr_mil,lwr_95,upp_95
1988,EBS,immature_female,1071.095816,201.0416433,677.0614356,1465.130196
1989,EBS,immature_female,607.8735492,150.119637,313.6444672,902.1026312
1990,EBS,immature_female,1045.347866,403.4491815,254.6020012,1836.093732
1991,EBS,immature_female,1665.945528,302.3781428,1073.295258,2258.595798
1992,EBS,immature_female,1839.099322,289.5098843,1271.670376,2406.528268
1993,EBS,immature_female,3111.829969,597.9215613,1939.925244,4283.734695
1994,EBS,immature_female,3143.714651,631.488438,1906.020056,4381.409247
1995,EBS,immature_female,1179.356214,240.758292,707.4786321,1651.233795
1996,EBS,immature_female,319.2219945,107.9478948,107.6480085,530.7959805
1997,EBS,immature_female,166.3626412,71.60227849,26.02475411,306.7005282
1998,EBS,immature_female,357.2678872,140.9582394,80.99481477,633.5409597
1999,EBS,immature_female,161.7289648,29.4778568,103.9534272,219.5045025
2000,EBS,immature_female,357.6689655,70.0623442,220.3492942,494.9886368
2001,EBS,immature_female,426.095724,194.3322668,45.21147996,806.979968
2002,EBS,immature_female,121.2102246,31.44356836,59.58196305,182.8384861
2003,EBS,immature_female,627.7360545,136.5930388,360.0186179,895.453491
2004,EBS,immature_female,842.4412264,163.761846,521.4739063,1163.408547
2005,EBS,immature_female,1161.34928,367.6941593,440.68197,1882.016589
2006,EBS,immature_female,607.4796023,150.6240949,312.261801,902.6974036
2007,EBS,immature_female,744.0195014,194.0765031,363.636545,1124.402458
2008,EBS,immature_female,192.4824928,41.60526136,110.937679,274.0273067
2009,EBS,immature_female,1142.116073,312.3890187,529.8448476,1754.387299
2010,EBS,immature_female,3469.376685,626.5534892,2241.354412,4697.398958
2011,EBS,immature_female,1175.838095,194.6462959,794.3383655,1557.337825
2012,EBS,immature_female,1095.033904,215.7098698,672.250328,1517.81748
2013,EBS,immature_female,1103.867032,227.3675754,658.2347728,1549.499291
2014,EBS,immature_female,1607.959677,718.083705,200.5414775,3015.377877
2015,EBS,immature_female,1852.885728,458.6331803,953.981212,2751.790243
2016,EBS,immature_female,3039.324016,740.7809295,1587.420073,4491.227958
2017,EBS,immature_female,3796.577091,679.5332715,2464.716353,5128.437829
2018,EBS,immature_female,4130.004411,706.7059565,2744.886189,5515.122633
2019,EBS,immature_female,163.5075052,63.57142527,38.90980122,288.1052092
1988,EBS,male31to60,2853.769591,461.7214389,1948.8122,3758.726982
1989,EBS,male31to60,1642.723807,252.7946846,1147.25533,2138.192284
1990,EBS,male31to60,1068.365842,219.7147559,637.7328335,1498.998851
1991,EBS,male31to60,2058.257952,449.0659175,1178.104927,2938.410977
1992,EBS,male31to60,2445.248033,655.1213569,1161.233768,3729.262298
1993,EBS,male31to60,4691.485415,866.0265678,2994.104532,6388.866297
1994,EBS,male31to60,3643.175786,588.8708053,2489.010216,4797.341356
1995,EBS,male31to60,2308.574888,324.3101328,1672.938708,2944.211068
1996,EBS,male31to60,764.7436859,128.2385819,513.4006839,1016.086688
1997,EBS,male31to60,271.414783,80.24462947,114.1381993,428.6913668
1998,EBS,male31to60,387.6865131,104.2774742,183.3064193,592.0666069
1999,EBS,male31to60,205.2240807,34.81364503,136.9905902,273.4575711
2000,EBS,male31to60,736.0297939,129.3599785,482.488895,989.5706927
2001,EBS,male31to60,740.0144295,211.6979286,325.0941139,1154.934745
2002,EBS,male31to60,235.2432165,63.51932604,110.7476252,359.7388079
2003,EBS,male31to60,1036.632265,242.7692007,560.8133748,1512.451155
2004,EBS,male31to60,1026.025871,180.7572161,671.7482373,1380.303504
2005,EBS,male31to60,1027.56922,206.7104138,622.4242537,1432.714186
2006,EBS,male31to60,497.2132393,106.7482067,287.9905987,706.4358799
2007,EBS,male31to60,856.5223726,204.1599553,456.3762131,1256.668532
2008,EBS,male31to60,322.5544763,68.4237333,188.4464233,456.6625292
2009,EBS,male31to60,696.1725606,149.0135699,404.1113305,988.2337908
2010,EBS,male31to60,2320.208192,379.6391159,1576.129197,3064.287186
2011,EBS,male31to60,1294.023356,189.4875674,922.6345489,1665.412164
2012,EBS,male31to60,879.9208874,165.0934361,556.3436985,1203.498076
2013,EBS,male31to60,777.0967053,130.661737,521.0044066,1033.189004
2014,EBS,male31to60,1040.486462,375.0738796,305.3551664,1775.617757
2015,EBS,male31to60,1462.417846,347.3785636,781.5683721,2143.26732
2016,EBS,male31to60,2963.100525,800.2888496,1394.563203,4531.637848
2017,EBS,male31to60,4451.6508,725.740226,3029.226095,5874.075505
2018,EBS,male31to60,6487.889919,877.6443722,4767.738559,8208.04128
2019,EBS,male31to60,731.6250019,191.6255427,356.0458397,1107.204164
1988,EBS,male61to90,1426.021789,200.2737495,1033.492453,1818.551125
1989,EBS,male61to90,1722.842595,224.5178737,1282.795649,2162.889541
1990,EBS,male61to90,1096.484971,123.8689143,853.7063601,1339.263582
1991,EBS,male61to90,1005.617164,174.7763304,663.0618508,1348.172477
1992,EBS,male61to90,578.7884556,73.82225454,434.0994955,723.4774158
1993,EBS,male61to90,802.6092707,106.1500095,594.5590752,1010.659466
1994,EBS,male61to90,1281.101043,156.6492876,974.0740813,1588.128005
1995,EBS,male61to90,1647.034485,152.3413004,1348.451023,1945.617947
1996,EBS,male61to90,1454.790682,144.6590657,1171.264123,1738.317241
1997,EBS,male61to90,841.1156481,74.61445234,694.8740088,987.3572874
1998,EBS,male61to90,362.9196195,42.47030909,279.6793433,446.1598958
1999,EBS,male61to90,155.1541614,12.68910757,130.2839676,180.0243553
2000,EBS,male61to90,265.8157402,29.70047946,207.6038701,324.0276103
2001,EBS,male61to90,846.6434945,154.5843,543.6638339,1149.623155
2002,EBS,male61to90,382.838429,84.75407974,216.7234851,548.9533728
2003,EBS,male61to90,367.1532456,61.34510389,246.9190513,487.3874398
2004,EBS,male61to90,378.8240196,69.71472656,242.1856663,515.4623729
2005,EBS,male61to90,1106.740558,207.9752956,699.1164686,1514.364647
2006,EBS,male61to90,524.7274878,86.81923531,354.5649134,694.8900622
2007,EBS,male61to90,542.847792,68.81967167,407.9637141,677.7318699
2008,EBS,male61to90,542.7197336,99.45135836,347.798653,737.6408143
2009,EBS,male61to90,368.5644289,39.82790042,290.5031785,446.6256793
2010,EBS,male61to90,410.2007879,58.55944157,295.4263915,524.9751843
2011,EBS,male61to90,695.5582074,131.4974405,437.82796,953.2884548
2012,EBS,male61to90,600.9120351,81.55155223,441.0739299,760.7501404
2013,EBS,male61to90,449.3988674,47.1062489,357.0723161,541.7254187
2014,EBS,male61to90,672.3568034,196.5293947,287.1662678,1057.547339
2015,EBS,male61to90,353.567489,55.50810548,244.7736014,462.3613766
2016,EBS,male61to90,250.52739,38.65598145,174.7630585,326.2917214
2017,EBS,male61to90,707.2900607,127.7084409,456.9861159,957.5940054
2018,EBS,male61to90,2342.155456,256.9273083,1838.587185,2845.723727
2019,EBS,male61to90,1423.747116,261.9346848,910.3645676,1937.129665
1988,EBS,male91to120,323.7905518,52.50833331,220.8761096,426.7049939
1989,EBS,male91to120,340.944034,37.6763152,267.0998132,414.7882549
1990,EBS,male91to120,724.5084092,130.6532167,468.4328099,980.5840085
1991,EBS,male91to120,642.0030663,106.4314705,433.4012172,850.6049154
1992,EBS,male91to120,291.4238471,31.37396695,229.9320018,352.9156924
1993,EBS,male91to120,203.118149,24.21194777,155.6636034,250.5726946
1994,EBS,male91to120,122.4753365,12.53252236,97.91204401,147.0386289
1995,EBS,male91to120,178.1152492,33.41828379,112.6166166,243.6138819
1996,EBS,male91to120,407.361541,71.75410195,266.7260854,547.9969965
1997,EBS,male91to120,402.0505459,44.25113686,315.3199113,488.7811804
1998,EBS,male91to120,289.8455324,29.62692202,231.7778323,347.9132325
1999,EBS,male91to120,96.70365644,8.852636449,79.35280783,114.0545051
2000,EBS,male91to120,115.7919892,18.10966615,80.29769579,151.2862826
2001,EBS,male91to120,129.1399768,15.43418294,98.88953412,159.3904195
2002,EBS,male91to120,155.2444277,40.55484978,75.75838277,234.7304727
2003,EBS,male91to120,132.7895927,15.80998633,101.8025889,163.7765965
2004,EBS,male91to120,100.4825213,14.20215331,72.6468123,128.3182303
2005,EBS,male91to120,101.2086866,11.08660583,79.47933846,122.9380347
2006,EBS,male91to120,208.1737289,69.47452007,72.00617168,344.341286
2007,EBS,male91to120,233.8553821,36.80797826,161.7130704,305.9976938
2008,EBS,male91to120,143.9826769,15.4325088,113.7355154,174.2298383
2009,EBS,male91to120,184.7128935,28.29714092,129.2515164,240.1742706
2010,EBS,male91to120,174.1235212,21.0580622,132.8504777,215.3965647
2011,EBS,male91to120,207.3760279,25.22581503,157.934339,256.8177169
2012,EBS,male91to120,127.7563268,17.93437252,92.60560258,162.907051
2013,EBS,male91to120,156.8431015,18.08833917,121.3906082,192.2955948
2014,EBS,male91to120,283.8402632,48.13811972,189.4912823,378.1892441
2015,EBS,male91to120,108.8937255,11.35569908,86.63696426,131.1504867
2016,EBS,male91to120,86.26927886,9.393303555,67.85874219,104.6798155
2017,EBS,male91to120,89.61484246,10.2488771,69.52741247,109.7022725
2018,EBS,male91to120,188.4254736,29.96887008,129.6875676,247.1633796
2019,EBS,male91to120,198.332971,37.09141861,125.6351264,271.0308156
1988,EBS,mature_female,3288.890836,543.6401286,2223.375763,4354.405909
1989,EBS,mature_female,5951.846658,2066.324585,1901.924891,10001.76843
1990,EBS,mature_female,3440.3625,761.5329449,1947.785355,4932.939645
1991,EBS,mature_female,4028.910163,1035.473192,1999.42,6058.400327
1992,EBS,mature_female,2398.510721,462.9679297,1491.110253,3305.911189
1993,EBS,mature_female,2766.049521,448.4684685,1887.067474,3645.031567
1994,EBS,mature_female,2377.177057,245.3959923,1896.20975,2858.144364
1995,EBS,mature_female,3604.970719,453.7463275,2715.644259,4494.297179
1996,EBS,mature_female,2448.431486,381.1741431,1701.343894,3195.519078
1997,EBS,mature_female,2136.705149,416.3133235,1320.746029,2952.66427
1998,EBS,mature_female,1499.99149,401.2689883,713.5187252,2286.464256
1999,EBS,mature_female,521.0220153,120.9146338,284.0336877,758.0103428
2000,EBS,mature_female,1857.412548,871.4344186,149.4324725,3565.392623
2001,EBS,mature_female,1271.631895,350.1621018,585.3267864,1957.937003
2002,EBS,mature_female,602.7034981,195.8886091,218.7688792,986.638117
2003,EBS,mature_female,969.0300923,385.9925266,212.4986419,1725.561543
2004,EBS,mature_female,1184.711648,335.2514703,527.6308403,1841.792455
2005,EBS,mature_female,1273.441205,279.514357,725.6031316,1821.279277
2006,EBS,mature_female,666.4591266,149.7778837,372.8998688,960.0183843
2007,EBS,mature_female,921.4473732,367.1914134,201.7654275,1641.129319
2008,EBS,mature_female,721.7607932,231.4222838,268.1814518,1175.340135
2009,EBS,mature_female,775.1611834,188.1744733,406.3459929,1143.976374
2010,EBS,mature_female,1970.494609,359.8926483,1265.11798,2675.871238
2011,EBS,mature_female,3797.083269,670.877464,2482.187601,5111.978936
2012,EBS,mature_female,3271.809346,749.0161871,1803.764596,4739.854097
2013,EBS,mature_female,2997.348793,656.9445216,1709.76119,4284.936395
2014,EBS,mature_female,2193.957498,554.8614318,1106.449075,3281.46592
2015,EBS,mature_female,1364.237264,270.1136863,834.8241672,1893.650361
2016,EBS,mature_female,1117.012391,230.0102407,666.2006029,1567.824178
2017,EBS,mature_female,3004.840868,631.6467131,1766.83606,4242.845677
2018,EBS,mature_female,4541.004932,626.9402266,3312.224668,5769.785197
2019,EBS,mature_female,2626.218072,480.9524697,1683.568553,3568.867591
