SURVEY_YEAR,REGION,SIZE1,ABUN_FEMALE_IMM,ABUN_FEM_MAT,TOTAL_ABUN
2010,EBS,0,0,0,0
2010,EBS,1,0,0,0
2010,EBS,2,0,0,0
2010,EBS,3,0,0,0
2010,EBS,4,0,0,0
2010,EBS,5,0,0,0
2010,EBS,6,0,0,0
2010,EBS,7,0,0,0
2010,EBS,8,28152.14,0,28152.14
2010,EBS,9,0,0,0
2010,EBS,10,29598.9,0,29598.9
2010,EBS,11,18507.36,0,18507.36
2010,EBS,12,69896.63,0,69896.63
2010,EBS,13,253417.77,0,253417.77
2010,EBS,14,412840.41,0,412840.41
2010,EBS,15,784354.07,0,784354.07
2010,EBS,16,821508.95,0,821508.95
2010,EBS,17,447688.83,0,447688.83
2010,EBS,18,294130.38,0,294130.38
2010,EBS,19,1889730.56,0,1889730.56
2010,EBS,20,836067.26,0,836067.26
2010,EBS,21,2708268.29,0,2708268.29
2010,EBS,22,5440393.53,0,5440393.53
2010,EBS,23,7903987.49,0,7903987.49
2010,EBS,24,9415787.15,0,9415787.15
2010,EBS,25,20615948,0,20615948
2010,EBS,26,9039096.37,0,9039096.37
2010,EBS,27,5822577.47,0,5822577.47
2010,EBS,28,10755345.25,0,10755345.25
2010,EBS,29,46186090.69,0,46186090.69
2010,EBS,30,45658281.08,0,45658281.08
2010,EBS,31,39745478.61,0,39745478.61
2010,EBS,32,26817652.43,0,26817652.43
2010,EBS,33,23576940.6,0,23576940.6
2010,EBS,34,13711904.95,0,13711904.95
2010,EBS,35,23071148.18,0,23071148.18
2010,EBS,36,34639968.97,194761.6,34834730.57
2010,EBS,37,27868380.04,657468.63,28525848.67
2010,EBS,38,39143130.92,2254298.32,41397429.24
2010,EBS,39,76133749.21,5640405.86,81774155.07
2010,EBS,40,107480263.4,14000239.73,121480503.1
2010,EBS,41,161763578.9,36034559.29,197798138.2
2010,EBS,42,189342276.8,55446536.45,244788813.3
2010,EBS,43,247759197.1,81536736.88,329295934
2010,EBS,44,330727595,67399162.75,398126757.8
2010,EBS,45,387995452,66839568.13,454835020.1
2010,EBS,46,337314106.5,66766916.14,404081022.6
2010,EBS,47,257792263.6,49481278.61,307273542.2
2010,EBS,48,184063816.5,60745949.53,244809766
2010,EBS,49,111958087.2,72518060.08,184476147.3
2010,EBS,50,66549077.99,81855134.56,148404212.6
2010,EBS,51,36975644.14,111879578.5,148855222.6
2010,EBS,52,20464201.57,151061965.3,171526166.9
2010,EBS,53,21471737.66,169812757.8,191284495.5
2010,EBS,54,14841854.19,115864296.3,130706150.5
2010,EBS,55,12588491.7,110200467.7,122788959.4
2010,EBS,56,13717219.3,94488590.05,108205809.4
2010,EBS,57,15129613.52,70852630.04,85982243.56
2010,EBS,58,10343386.26,47622823.55,57966209.81
2010,EBS,59,8990844.37,44419819.46,53410663.83
2010,EBS,60,7126293.42,28928082.45,36054375.87
2010,EBS,61,2795886.68,23779367.43,26575254.11
2010,EBS,62,2383767.41,25245075.39,27628842.8
2010,EBS,63,1124926.42,20096073.05,21220999.47
2010,EBS,64,1654191.7,29654413.33,31308605.03
2010,EBS,65,427445.56,11092146.71,11519592.27
2010,EBS,66,133864.15,19862856.02,19996720.17
2010,EBS,67,121273.88,13930903.3,14052177.18
2010,EBS,68,84385.77,9587573.92,9671959.69
2010,EBS,69,66842.1,5213836.56,5280678.66
2010,EBS,70,80849.25,4712246.32,4793095.57
