SURVEY_YEAR,REGION,SIZE1,ABUN_MAT_MALE,ABUN_IMM_MALE,TOTAL_ABUN
2010,NBS,0,0,0,0
2010,NBS,1,0,0,0
2010,NBS,2,0,0,0
2010,NBS,3,0,0,0
2010,NBS,4,0,0,0
2010,NBS,5,0,0,0
2010,NBS,6,0,0,0
2010,NBS,7,0,0,0
2010,NBS,8,0,0,0
2010,NBS,9,0,0,0
2010,NBS,10,0,0,0
2010,NBS,11,0,0,0
2010,NBS,12,0,0,0
2010,NBS,13,0,0,0
2010,NBS,14,0,0,0
2010,NBS,15,0,298486.7535,298486.7535
2010,NBS,16,0,1051480.114,1051480.114
2010,NBS,17,0,254237.5881,254237.5881
2010,NBS,18,0,3208080.106,3208080.106
2010,NBS,19,0,11668412.88,11668412.88
2010,NBS,20,0,8188313.273,8188313.273
2010,NBS,21,0,27070695.55,27070695.55
2010,NBS,22,0,97983255.32,97983255.32
2010,NBS,23,0,99349994.92,99349994.92
2010,NBS,24,0,144163459.9,144163459.9
2010,NBS,25,0,116149678.2,116149678.2
2010,NBS,26,0,127570000.9,127570000.9
2010,NBS,27,0,137355749.3,137355749.3
2010,NBS,28,0,100827878.7,100827878.7
2010,NBS,29,0,118022465.6,118022465.6
2010,NBS,30,0,150179572.5,150179572.5
2010,NBS,31,404284.7475,145531122.5,145935407.2
2010,NBS,32,783292.3927,232805012.9,233588305.3
2010,NBS,33,947577.2128,232532105.5,233479682.7
2010,NBS,34,1188874.956,240882023.7,242070898.7
2010,NBS,35,1412266.592,236257059.9,237669326.5
2010,NBS,36,2162431.806,298682946.2,300845378
2010,NBS,37,3371408.617,384484906.2,387856314.8
2010,NBS,38,3373455.364,317645544.3,321018999.7
2010,NBS,39,4063402.572,315905762.1,319969164.7
2010,NBS,40,4570399.845,293374113,297944512.8
2010,NBS,41,5199353.848,275560437,280759790.8
2010,NBS,42,7890990.596,345301855.9,353192846.5
2010,NBS,43,6507304.609,235108548.5,241615853.1
2010,NBS,44,8709076.155,259800072.9,268509149.1
2010,NBS,45,9833584.363,242202669.3,252036253.7
2010,NBS,46,11133630.02,226414251.2,237547881.2
2010,NBS,47,14198577.91,238403001.9,252601579.8
2010,NBS,48,11124996.97,154229222.3,165354219.3
2010,NBS,49,10100737.77,115616484.7,125717222.5
2010,NBS,50,12946309.54,122352415.5,135298725
2010,NBS,51,13672056.79,106684250.7,120356307.5
2010,NBS,52,16746909.01,107894924.4,124641833.4
2010,NBS,53,8013414.26,42626909.4,50640323.66
2010,NBS,54,10476526.8,46013310.1,56489836.9
2010,NBS,55,8018119.077,29076260.2,37094379.28
2010,NBS,56,13623853.54,40791146.12,54414999.66
2010,NBS,57,17065689.43,42188071.78,59253761.21
2010,NBS,58,10192988.84,20804979.11,30997967.95
2010,NBS,59,11647405.43,19628848.59,31276254.02
2010,NBS,60,10663498.93,14837654.65,25501153.58
2010,NBS,61,12327556.41,14162581.57,26490137.98
2010,NBS,62,5775164.795,5478096.821,11253261.62
2010,NBS,63,4018103.907,3146924.927,7165028.834
2010,NBS,64,4185716.378,2706667.533,6892383.911
2010,NBS,65,5847127.571,3121818.012,8968945.583
2010,NBS,66,1829500.505,806487.1339,2635987.639
2010,NBS,67,2245437.832,817270.5356,3062708.368
2010,NBS,68,2516385.318,756209.0068,3272594.325
2010,NBS,69,1059113.697,262789.0014,1321902.698
2010,NBS,70,791590.9621,162168.0609,953759.023
2010,NBS,71,0,0,0
2010,NBS,72,0,0,0
2010,NBS,73,27431.87309,3163.149001,30595.02209
2010,NBS,74,0,0,0
2010,NBS,75,0,0,0
2010,NBS,76,0,0,0
2010,NBS,77,0,0,0
2010,NBS,78,0,0,0
2010,NBS,79,0,0,0
2010,NBS,80,0,0,0
2010,NBS,81,0,0,0
2010,NBS,82,0,0,0
2010,NBS,83,0,0,0
2010,NBS,84,0,0,0
2010,NBS,85,31104.04286,359.981175,31464.02404
2010,NBS,86,0,0,0
2010,NBS,87,0,0,0
2010,NBS,88,0,0,0
2010,NBS,89,0,0,0
2010,NBS,90,0,0,0
2010,NBS,91,0,0,0
2010,NBS,92,0,0,0
2010,NBS,93,0,0,0
2010,NBS,94,0,0,0
2010,NBS,95,0,0,0
2010,NBS,96,0,0,0
2010,NBS,97,0,0,0
2010,NBS,98,0,0,0
2010,NBS,99,0,0,0
2010,NBS,100,0,0,0
2010,NBS,101,0,0,0
2010,NBS,102,0,0,0
2010,NBS,103,0,0,0
2010,NBS,104,0,0,0
2010,NBS,105,0,0,0
2010,NBS,106,0,0,0
2010,NBS,107,0,0,0
2010,NBS,108,0,0,0
2010,NBS,109,0,0,0
2010,NBS,110,0,0,0
2010,NBS,111,0,0,0
2010,NBS,112,0,0,0
2010,NBS,113,0,0,0
2010,NBS,114,0,0,0
2010,NBS,115,0,0,0
2010,NBS,116,0,0,0
2010,NBS,117,0,0,0
2010,NBS,118,0,0,0
2010,NBS,119,0,0,0
2010,NBS,120,0,0,0
2010,NBS,121,0,0,0
2010,NBS,122,0,0,0
2010,NBS,123,0,0,0
2010,NBS,124,0,0,0
2010,NBS,125,0,0,0
2010,NBS,126,0,0,0
2010,NBS,127,0,0,0
2010,NBS,128,0,0,0
2010,NBS,129,0,0,0
2010,NBS,130,0,0,0
2010,NBS,131,0,0,0
2010,NBS,132,0,0,0
2010,NBS,133,0,0,0
2010,NBS,134,0,0,0
2010,NBS,135,0,0,0
2010,NBS,136,0,0,0
2010,NBS,137,0,0,0
2010,NBS,138,0,0,0
2010,NBS,139,0,0,0
2010,NBS,140,0,0,0
2010,NBS,141,0,0,0
2010,NBS,142,0,0,0
2010,NBS,143,0,0,0
2010,NBS,144,0,0,0
2010,NBS,145,0,0,0
2010,NBS,146,0,0,0
2010,NBS,147,0,0,0
2010,NBS,148,0,0,0
2010,NBS,149,0,0,0
2010,NBS,150,0,0,0
2010,NBS,151,0,0,0
2010,NBS,152,0,0,0
2010,NBS,153,0,0,0
2010,NBS,154,0,0,0
2010,NBS,155,0,0,0
2010,NBS,156,0,0,0
2010,NBS,157,0,0,0
2010,NBS,158,0,0,0
2010,NBS,159,0,0,0
2010,NBS,160,0,0,0
2010,NBS,161,0,0,0
2010,NBS,162,0,0,0
2010,NBS,163,0,0,0
2010,NBS,164,0,0,0
2010,NBS,165,0,0,0
2010,NBS,166,0,0,0
2010,NBS,167,0,0,0
2010,NBS,168,0,0,0
2010,NBS,169,0,0,0
2010,NBS,170,0,0,0
2010,NBS,171,0,0,0
2010,NBS,172,0,0,0
2010,NBS,173,0,0,0
2010,NBS,174,0,0,0
2010,NBS,175,0,0,0
2010,NBS,176,0,0,0
2010,NBS,177,0,0,0
2010,NBS,178,0,0,0
2010,NBS,179,0,0,0
2010,NBS,180,0,0,0
2010,NBS,181,0,0,0
2010,NBS,182,0,0,0
2010,NBS,183,0,0,0
2010,NBS,184,0,0,0
2010,NBS,185,0,0,0
2010,NBS,186,0,0,0
2010,NBS,187,0,0,0
2010,NBS,188,0,0,0
2010,NBS,189,0,0,0
2010,NBS,190,0,0,0
2010,NBS,191,0,0,0
2010,NBS,192,0,0,0
2010,NBS,193,0,0,0
2010,NBS,194,0,0,0
2010,NBS,195,0,0,0
2010,NBS,196,0,0,0
2010,NBS,197,0,0,0
2010,NBS,198,0,0,0
2010,NBS,199,0,0,0
2010,NBS,200,0,0,0
2010,NBS,201,0,0,0
2010,NBS,202,0,0,0
2010,NBS,203,0,0,0
2010,NBS,204,0,0,0
2010,NBS,205,0,0,0
2010,NBS,206,0,0,0
2010,NBS,207,0,0,0
2010,NBS,208,0,0,0
2010,NBS,209,0,0,0
2010,NBS,210,0,0,0
2010,NBS,211,0,0,0
2010,NBS,212,0,0,0
2010,NBS,213,0,0,0
2010,NBS,214,0,0,0
2010,NBS,215,0,0,0
2010,NBS,216,0,0,0
2010,NBS,217,0,0,0
2010,NBS,218,0,0,0
2010,NBS,219,0,0,0
2010,NBS,220,0,0,0
2010,NBS,221,0,0,0
2010,NBS,222,0,0,0
2010,NBS,223,0,0,0
2010,NBS,224,0,0,0
2010,NBS,225,0,0,0
2010,NBS,226,0,0,0
2010,NBS,227,0,0,0
2010,NBS,228,0,0,0
