Year,SIZESEX,TEMP_OCC,D95,ABUN_mil_strat,LAT_COD,AVG_BT,CP_EXTENT,CP_COD,DFA_Trend 
1988,FEMALE_IMM,-0.975672017,13233,1071.095816,60.5077,2.156306581,56942,59.05124601,-1.343241155
1989,FEMALE_IMM,1.808405034,12431,607.8735492,59.8648,2.906274607,30476,58.8467041,-1.530200454
1990,FEMALE_IMM,-0.383739038,9223,1045.347866,59.579,2.238105379,48120,59.64160771,-1.352492876
1991,FEMALE_IMM,0.295158479,15238,1665.945528,59.5602,2.434026307,48120,59.59938457,-1.140156595
1992,FEMALE_IMM,-0.450161576,14436,1839.099322,59.7179,1.674449366,70977,58.75774909,-1.248629863
1993,FEMALE_IMM,0.549455838,11629,3111.829969,60.3403,2.949442206,37293,59.51468426,-0.948176212
1994,FEMALE_IMM,-1.585774815,10827,3143.714651,61.0464,1.50332258,73383,58.99732338,-1.230591629
1995,FEMALE_IMM,-1.367139443,11629,1179.356214,61.0871,1.517083132,76992,58.71159276,-1.063157879
1996,FEMALE_IMM,-0.014376792,8020,319.2219945,61.5587,3.293189498,27669,59.68651216,-0.450709281
1997,FEMALE_IMM,-1.217790987,3208,166.3626412,61.4623,2.590745083,46115,59.06927133,-0.428414448
1998,FEMALE_IMM,1.219962888,5213,357.2678872,60.8423,3.129069955,26867,60.16017141,-0.186807395
1999,FEMALE_IMM,-1.366475149,9624,161.7289648,60.5586,0.70845486,108270,58.75360343,-0.341441584
2000,FEMALE_IMM,-0.637926577,10827,357.6689655,60.6942,2.011454234,65363,59.06855605,-0.23552203
2001,FEMALE_IMM,0.001652939,10426,426.095724,60.9512,2.442372014,46917,59.80107298,0.087409683
2002,FEMALE_IMM,0.480361018,6416,121.2102246,60.7493,3.051897372,28070,60.32049763,0.5540832
2003,FEMALE_IMM,0.745824612,7619,627.7360545,61.2526,3.682174927,13634,60.56099789,0.923423657
2004,FEMALE_IMM,1.53721674,8822,842.4412264,59.0594,3.215752305,25263,60.28278085,0.741879418
2005,FEMALE_IMM,1.770895661,10827,1161.34928,59.3404,3.320277923,24060,60.40755567,0.395962588
2006,FEMALE_IMM,-1.0377621,8020,607.4796023,59.6575,1.664492486,68972,59.21042952,-0.541387335
2007,FEMALE_IMM,-1.010367724,10827,744.0195014,60.0775,1.582666667,78997,58.75097014,-0.944207534
2008,FEMALE_IMM,-1.185629518,11228,192.4824928,60.29,1.107169814,96240,58.68089806,-1.203909185
2009,FEMALE_IMM,-1.336042937,11228,1142.116073,60.8049,1.195733333,89824,58.64481878,-1.56933035
2010,FEMALE_IMM,-0.403054932,15639,3469.376685,60.9369,1.338666667,74987,58.69849269,-1.886101647
2011,FEMALE_IMM,0.61045853,18045,1175.838095,60.2798,2.312,45714,59.46411567,-1.51795633
2012,FEMALE_IMM,-0.751186937,13233,1095.033904,59.5551,0.840035977,103057,58.54649633,-1.033489073
2013,FEMALE_IMM,-0.80826676,14436,1103.867032,59.3396,1.637066667,72982,58.85426527,-0.34183059
